  Date,   Open,   High,    Low,  Close
31-Dec-92,0.6795,0.6798,0.6768,0.6781
30-Dec-92,0.6812,0.6829,0.6787,0.68
29-Dec-92,0.675,0.6794,0.675,0.6783
28-Dec-92,0.6858,0.6869,0.674,0.676
24-Dec-92,0.6902,0.6902,0.6855,0.686
23-Dec-92,0.6905,0.691,0.6868,0.6871
22-Dec-92,0.6957,0.6957,0.6866,0.6871
21-Dec-92,0.7038,0.7038,0.7011,0.7026
18-Dec-92,0.7058,0.7065,0.7009,0.7051
17-Dec-92,0.7153,0.7176,0.7081,0.7088
16-Dec-92,0.7085,0.7123,0.7081,0.7098
15-Dec-92,0.7043,0.7067,0.7035,0.7041
14-Dec-92,0.7059,0.7068,0.7029,0.7047
11-Dec-92,0.7048,0.7076,0.7032,0.7052
10-Dec-92,0.7023,0.7105,0.7012,0.7049
9-Dec-92,0.702,0.7074,0.7006,0.7045
8-Dec-92,0.7153,0.7162,0.7074,0.7118
7-Dec-92,0.702,0.714,0.7006,0.7122
4-Dec-92,0.7076,0.709,0.6965,0.6998
3-Dec-92,0.7091,0.7129,0.7055,0.7064
2-Dec-92,0.7096,0.7182,0.708,0.716
1-Dec-92,0.6975,0.714,0.6965,0.712
30-Nov-92,0.6911,0.6972,0.6903,0.6962
27-Nov-92,0.6902,0.6938,0.6892,0.6918
25-Nov-92,0.6984,0.7015,0.6947,0.6985
24-Nov-92,0.691,0.6975,0.6887,0.6973
23-Nov-92,0.6897,0.6984,0.6889,0.696
20-Nov-92,0.6997,0.7027,0.687,0.6893
19-Nov-92,0.694,0.7042,0.6895,0.7032
18-Nov-92,0.6904,0.6904,0.6843,0.6894
17-Nov-92,0.685,0.689,0.6836,0.6888
16-Nov-92,0.6962,0.6966,0.6918,0.6934
13-Nov-92,0.7054,0.7072,0.701,0.7044
12-Nov-92,0.6951,0.6987,0.694,0.6984
11-Nov-92,0.6936,0.6981,0.6921,0.6962
10-Nov-92,0.693,0.6966,0.6903,0.6935
9-Nov-92,0.697,0.702,0.6949,0.6956
6-Nov-92,0.7,0.7015,0.6933,0.6949
5-Nov-92,0.704,0.7056,0.7012,0.7017
4-Nov-92,0.7145,0.718,0.707,0.7074
3-Nov-92,0.7112,0.719,0.7112,0.712
2-Nov-92,0.719,0.719,0.711,0.7118
30-Oct-92,0.7259,0.727,0.7229,0.7247
29-Oct-92,0.7253,0.7292,0.7227,0.7253
28-Oct-92,0.7292,0.7311,0.721,0.7238
27-Oct-92,0.7268,0.734,0.7235,0.7338
26-Oct-92,0.7246,0.7305,0.7238,0.7272
23-Oct-92,0.7324,0.7345,0.7245,0.7307
22-Oct-92,0.74,0.7419,0.7352,0.7401
21-Oct-92,0.7345,0.7409,0.7324,0.7335
20-Oct-92,0.7398,0.7401,0.7272,0.7341
19-Oct-92,0.7528,0.7561,0.7435,0.7445
16-Oct-92,0.7614,0.7654,0.7515,0.7534
15-Oct-92,0.7678,0.7705,0.7626,0.7652
14-Oct-92,0.7595,0.7655,0.7565,0.7642
13-Oct-92,0.751,0.762,0.7489,0.7596
12-Oct-92,0.7548,0.762,0.7545,0.7617
9-Oct-92,0.7588,0.7619,0.751,0.7571
8-Oct-92,0.7642,0.7695,0.7537,0.7548
7-Oct-92,0.798,0.8001,0.7802,0.7808
6-Oct-92,0.8007,0.8007,0.794,0.7968
5-Oct-92,0.812,0.8209,0.8009,0.8012
2-Oct-92,0.8035,0.808,0.787,0.8076
1-Oct-92,0.8041,0.8072,0.7948,0.7986
30-Sep-92,0.8073,0.8081,0.7988,0.8023
29-Sep-92,0.7975,0.8076,0.7915,0.807
28-Sep-92,0.7762,0.7841,0.7737,0.7821
25-Sep-92,0.766,0.7685,0.7619,0.7665
24-Sep-92,0.7655,0.7658,0.752,0.7607
23-Sep-92,0.755,0.7615,0.7539,0.7588
22-Sep-92,0.7684,0.7716,0.758,0.761
21-Sep-92,0.7565,0.7628,0.752,0.7612
18-Sep-92,0.7661,0.7698,0.757,0.7607
17-Sep-92,0.7595,0.7695,0.757,0.7679
16-Sep-92,0.7565,0.7584,0.7461,0.755
15-Sep-92,0.7593,0.7637,0.75,0.7502
14-Sep-92,0.7533,0.7558,0.746,0.7509
11-Sep-92,0.7781,0.7785,0.7646,0.7683
10-Sep-92,0.7872,0.7955,0.7825,0.7827
9-Sep-92,0.7915,0.7949,0.7875,0.7888
8-Sep-92,0.796,0.8023,0.7955,0.7998
4-Sep-92,0.7817,0.802,0.7817,0.7994
3-Sep-92,0.8032,0.8036,0.7888,0.7906
2-Sep-92,0.8078,0.8081,0.8025,0.8048
1-Sep-92,0.805,0.808,0.8015,0.8077
31-Aug-92,0.7922,0.8025,0.7922,0.799
28-Aug-92,0.7939,0.7965,0.7909,0.7915
27-Aug-92,0.7883,0.7926,0.7862,0.7919
26-Aug-92,0.7935,0.7976,0.7907,0.7929
25-Aug-92,0.7983,0.8055,0.794,0.8006
24-Aug-92,0.7923,0.8044,0.7923,0.8026
21-Aug-92,0.7742,0.7879,0.7686,0.7849
20-Aug-92,0.7688,0.7748,0.7683,0.7742
19-Aug-92,0.7614,0.767,0.7598,0.7668
18-Aug-92,0.759,0.763,0.7578,0.7628
17-Aug-92,0.7552,0.7584,0.7551,0.7563
14-Aug-92,0.7542,0.7553,0.7497,0.7546
13-Aug-92,0.7533,0.762,0.7503,0.7617
12-Aug-92,0.7513,0.7551,0.751,0.754
11-Aug-92,0.754,0.7544,0.749,0.7543
10-Aug-92,0.7556,0.7581,0.7543,0.7576
7-Aug-92,0.7517,0.7592,0.746,0.7582
6-Aug-92,0.7471,0.75,0.7458,0.7496
5-Aug-92,0.7505,0.7528,0.744,0.745
4-Aug-92,0.7513,0.7547,0.7502,0.7514
3-Aug-92,0.7546,0.7554,0.7518,0.755
31-Jul-92,0.7557,0.7572,0.752,0.7532
30-Jul-92,0.7506,0.7532,0.7463,0.753
29-Jul-92,0.7603,0.7607,0.7515,0.7538
28-Jul-92,0.7604,0.763,0.7557,0.7622
27-Jul-92,0.7558,0.7587,0.7542,0.7578
24-Jul-92,0.7558,0.7563,0.7444,0.7455
23-Jul-92,0.7528,0.7553,0.7514,0.7538
22-Jul-92,0.753,0.7545,0.7475,0.7528
